,event_people_assoc_id,event_id,person_id,person_role
5531307,28811,12034,1178.0,Purchaser
5531310,28812,12035,3053.0,Owner
5531312,28813,12035,3054.0,Owner
5531314,28814,12036,1176.0,Purchaser
5533764,28815,12036,1177.0,Purchaser
5533768,28816,12036,1178.0,Purchaser
5533771,28817,12037,2810.0,Owner
5533772,28818,12037,2811.0,Owner
5533773,28819,12037,2812.0,Owner
5533775,28820,12038,1176.0,Purchaser
5536225,28821,12038,1177.0,Purchaser
5536229,28822,12038,1178.0,Purchaser
5536232,28823,12039,2999.0,Owner
5536239,28824,12040,1176.0,Purchaser
5538689,28825,12040,1177.0,Purchaser
5538693,28826,12040,1178.0,Purchaser
5538696,28827,12041,2989.0,Owner
5538698,28828,12041,2990.0,Owner
5538699,28829,12041,2991.0,Owner
5538700,28830,12042,894.0,Owner
5538702,28831,12042,895.0,Owner
5538703,28832,12043,476.0,Owner
5538706,28833,12043,477.0,Owner
5538707,28834,12044,1238.0,Owner
5538708,28835,12044,1239.0,Owner
5538710,28836,12045,1176.0,Purchaser
5541160,28837,12045,1177.0,Purchaser
5541164,28838,12045,1178.0,Purchaser
5541167,28839,12046,2385.0,Owner
5541168,28840,12046,2386.0,Owner
5541169,28841,12046,2387.0,Owner
5541184,28842,12047,703.0,Owner
5541205,28843,12047,704.0,Owner
5541206,28844,12047,705.0,Owner
5541208,28845,12047,706.0,Owner
5541209,28846,12047,707.0,Owner
5541212,28847,12047,708.0,Owner
5541213,28848,12048,1434.0,Owner
5541215,28849,12048,1435.0,Owner
5541216,28850,12049,1176.0,Purchaser
5543666,28851,12049,1177.0,Purchaser
5543670,28852,12049,1178.0,Purchaser
5543673,28853,12050,1414.0,Owner
5543674,28854,12050,1415.0,Owner
5543675,28855,12050,1416.0,Owner
5543676,28856,12051,964.0,Owner
5543677,28857,12051,965.0,Owner
5543678,28858,12051,966.0,Owner
5543679,28859,12052,56.0,Owner
5543680,28860,12052,57.0,Owner
5543681,28861,12052,58.0,Owner
5543682,28862,12053,2912.0,Owner
5543685,28863,12054,1176.0,Purchaser
5546135,28864,12054,1177.0,Purchaser
5546139,28865,12054,1178.0,Purchaser
5546142,28866,12055,2297.0,Owner
5546144,28867,12056,1176.0,Purchaser
5548594,28868,12056,1177.0,Purchaser
5548598,28869,12056,1178.0,Purchaser
5548601,28870,12057,2843.0,Owner
5548602,28871,12057,2844.0,Owner
5548603,28872,12057,2845.0,Owner
5548604,28873,12058,1176.0,Purchaser
5551054,28874,12058,1177.0,Purchaser
5551058,28875,12058,1178.0,Purchaser
5551061,28876,12059,2725.0,Owner
